date,portcalls,import,export
2026-03-01,2,26044,0
2026-03-02,3,9018,12804
2026-03-03,1,4642,1240
2026-03-04,10,92251,109674
2026-03-05,3,12355,10024
2026-03-06,5,6765,36528
2026-03-07,1,0,0
2026-03-08,2,0,1027
2026-03-09,3,12689,20623
2026-03-10,2,4642,82392
2026-03-11,4,14124,42829
2026-03-12,4,3404,63643
2026-03-13,5,16158,18142
2026-03-14,2,22567,0
2026-03-15,1,4523,0
2026-03-16,5,27386,50452
2026-03-17,1,0,28139
2026-03-18,5,0,81732
2026-03-19,4,113025,0
2026-03-20,2,3404,18142
2026-03-21,2,18011,0
2026-03-22,4,9284,2481
2026-03-23,4,0,15957
2026-03-24,3,23953,0
2026-03-25,2,19088,44852
2026-03-26,4,11719,0
2026-03-27,4,62908,0
2026-03-28,4,27239,62737
2026-03-29,3,13419,0
2026-03-30,8,57583,108448
2026-03-31,2,21298,1240
2026-04-01,1,0,3480
2026-04-02,5,41566,8838
2026-04-03,3,10037,36538
2026-04-04,4,21245,4776
2026-04-05,5,27041,53095
2026-04-06,3,0,78535
2026-04-07,1,0,4754
2026-04-08,7,95224,45261
2026-04-09,0,0,0
2026-04-10,1,0,43094
2026-04-11,2,10790,0
2026-04-12,3,89827,36417
2026-04-13,2,9984,0
2026-04-14,3,4642,37437
2026-04-15,4,7335,22713
2026-04-16,4,13981,564
2026-04-17,4,4642,46049
2026-04-18,4,35684,0
2026-04-19,2,1855,4266
2026-04-20,2,4636,18737
2026-04-21,2,7943,0
2026-04-22,1,1232,594
2026-04-23,2,0,13452
2026-04-24,3,6041,43948
2026-04-25,2,6558,5330
2026-04-26,1,0,1879
2026-04-27,5,12035,18142
2026-04-28,4,10311,38992
2026-04-29,1,0,4619
2026-04-30,3,34163,16628
2026-05-01,4,29648,0
2026-05-02,2,4642,2525
2026-05-03,3,1424,0
2026-05-04,3,2198,0
2026-05-05,2,21481,0
2026-05-06,1,25314,0
2026-05-07,2,43497,594
2026-05-08,4,12762,38185
2026-05-09,1,0,0
2026-05-10,3,17964,2608
2026-05-11,6,22204,31856
2026-05-12,3,10840,46917
2026-05-13,6,30407,42144
2026-05-14,1,0,6711
2026-05-15,3,14687,0
2026-05-16,3,11719,0
2026-05-17,3,1866,38662
2026-05-18,5,26007,108705
2026-05-19,3,2488,0
2026-05-20,5,85306,2481
2026-05-21,4,42813,21001
2026-05-22,1,2865,0
2026-05-23,1,6529,0
2026-05-24,1,0,0
2026-05-25,3,1077,17676
2026-05-26,6,8046,50072
2026-05-27,2,812,906
2026-05-28,2,12257,9014
2026-05-29,1,0,6751
2026-05-30,2,0,40138
2026-05-31,2,8216,1240
2026-06-01,6,11916,11794
2026-06-02,3,11840,41101
2026-06-03,5,0,6563
2026-06-04,6,9279,40184
2026-06-05,3,77182,766
2026-06-06,4,24010,594
2026-06-07,2,0,3306
2026-06-08,4,13907,110
2026-06-09,1,1232,594
2026-06-10,6,37422,45172
2026-06-11,2,2234,2245
2026-06-12,1,16656,0
2026-06-13,2,5130,10024
2026-06-14,4,11998,40283
2026-06-15,4,3404,107834
2026-06-16,2,3857,18142
2026-06-17,3,30833,17534
2026-06-18,4,21709,12572
2026-06-19,4,12637,58811
2026-06-20,3,54909,20275
2026-06-21,2,561,2659
2026-06-22,5,35943,21411
2026-06-23,2,15851,0
2026-06-24,3,0,0
2026-06-25,3,4642,45120
2026-06-26,4,6122,24585
